#,Anime,#1,#2,#3,#4-5,#6-10,#11-20,Points,Classification,Genre
242,Log Horizon,1,0,0,0,8,17,38,Shonen,Isekai
243,Bofuri,1,,2,3,3,10,38,Shonen,Isekai
247,Gundam Unicorn,1,2,1,2,3,8,37,Seinen,Mecha
248,Astra: Lost in Space,1,0,1,6,3,4,37,Shonen,Other
252,Macross,1,1,0,1,6,11,35,Shonen,Mecha
255,Mononoke,1,2,1,1,3,8,34,Seinen,Fantasy / Action
256,Moribito - Guardian of the Spirit,1,1,0,1,7,8,34,Seinen,Fantasy / Action
257,Tower of God,1,1,0,0,5,15,34,Shonen,Fantasy / Action
267,Wandering Witch: The Journey of Elaina,1,1,0,3,4,7,33,Shonen,Fantasy / Action
273,Undead Unluck,1,2,1,1,2,8,32,Shonen,Fantasy / Action
274,Teasing Master Takagi,1,1,0,3,2,10,32,Shonen,Slice of Life
275,Mobile Suit Gundam 00,1,0,0,2,6,9,32,Shonen,Mecha
276,Iruma Kun,1,0,0,2,6,9,32,Shonen,Isekai
277,Usagi Drop,1,0,0,0,7,13,32,Seinen,Slice of Life
282,Deca-Dence,1,1,1,2,4,4,31,Seinen,Mecha
283,WorldEnd/SukaSuka,1,1,0,2,4,8,31,Shonen,Fantasy / Action
284,Beck,1,0,0,3,5,7,31,Shonen,Slice of Life
293,Kamisama Kiss,1,2,1,3,0,4,30,Shojo,Fantasy / Action
294,Yama no Susume,1,1,1,0,4,9,30,Seinen,Slice of Life
295,A Certain Magical Index,1,0,1,3,3,6,30,Shonen,Fantasy / Action
308,Trigun Stampede,1,0,0,2,3,11,28,Seinen,Other
315,Patlabor,1,1,0,1,3,9,27,Shonen,Mecha
316,Whisper of the Heart,1,0,1,1,5,5,27,Kodomomuke,Slice of Life
320,Brand New Animal,1,1,1,0,4,5,26,Seinen,Fantasy / Action
321,Golden Boy,1,0,0,1,5,8,26,Seinen,Other
327,Talentless Nana,1,1,0,1,3,7,25,Shonen,Fantasy / Action
328,Aoashi,1,0,1,1,2,9,25,Seinen,Other
329,Nodame Cantabille,1,0,1,0,3,10,25,Josei,Slice of Life
334,Domestic Girlfriend,1,1,0,1,4,4,24,Shonen,Slice of Life
341,Angel's Egg,1,1,0,0,4,6,23,Seinen,Other
342,Sound of the Sky,1,0,0,1,2,11,23,Seinen,Slice of Life
349,White Album 2,1,0,0,1,4,6,22,Seinen,Slice of Life
359,Wolf's Rain,1,1,0,0,4,4,21,Seinen,Fantasy / Action
368,Ojamajo Doremi,1,1,0,3,0,2,20,Kodomomuke,Fantasy / Action
369,The Wind Rises,1,0,1,1,2,4,20,Seinen,Other
370,Grave of the Fireflies,1,0,0,1,4,4,20,Seinen,Other
380,Fate/Apocrypha,1,1,0,1,2,3,19,Seinen,Fantasy / Action
391,Aggressive Retsuko.,1,0,0,2,1,5,18,Seinen,Slice of Life
399,BanG Dream!,1,0,1,1,1,3,17,Seinen,Slice of Life
400,Wind Breaker,1,0,1,0,2,4,17,Shonen,Other
401,Aikatsu!,1,0,0,1,4,1,17,Kodomomuke,Slice of Life
411,Dragon Quest: The Adventure of Dai,1,1,1,1,0,0,16,Shonen,Fantasy / Action
412,"More than a Married Couple, but Not Lovers",1,0,1,1,0,4,16,Shonen,Slice of Life
413,Fate/kaleid liner Prisma Illya,1,0,1,0,2,3,16,Seinen,Fantasy / Action
414,Tenchi Muyo,1,0,0,1,3,2,16,Seinen,Fantasy / Action
415,Hikaru no Go,1,0,0,0,3,5,16,Shonen,Other
416,Oreimo,1,,,,3,5,16,Shonen,Slice of Life
424,Lovely Complex,1,0,1,0,2,2,15,Shojo,Slice of Life
425,Osomatsu-san,1,0,0,1,2,3,15,Seinen,Slice of Life
426,Mieruko-chan,1,0,0,1,1,5,15,Seinen,Fantasy / Action
440,Idolish7,1,0,0,1,2,2,14,Seinen,Slice of Life
441,The iDOLM@STER (2011),1,0,0,1,2,2,14,Seinen,Slice of Life
442,The Great Passage,1,0,0,0,3,3,14,Seinen,Other
443,In This Corner of the World,1,0,0,0,1,7,14,Seinen,Other
458,Ace of the Diamond,1,0,0,0,2,4,13,Shonen,Other
459,Last Exile,1,0,0,0,4,0,13,Seinen,Fantasy / Action
472,The Helpful Fox Senko-san,1,1,0,0,1,1,12,Seinen,Slice of Life
473,Hayate the Combat Butler,1,0,0,1,1,2,12,Shonen,Slice of Life
474,Black Butler,1,0,0,0,2,3,12,Shonen,Fantasy / Action
475,Moriarty the Patriot,1,0,0,0,1,5,12,Shonen,Other
487,Maria Watches Over Us,1,0,0,1,0,3,11,Shojo,Slice of Life
488,R.O.D,1,0,0,0,3,0,11,Seinen,Fantasy / Action
489,Yuyushiki,1,0,0,0,2,2,11,Seinen,Slice of Life
490,Figure 17,1,0,0,0,1,4,11,Seinen,Other
491,Tsukimichi,1,0,0,0,0,6,11,Shonen,Isekai
60,Spy x Family,0,4,6,16,30,106,254,Shonen,Slice of Life
83,Welcome to the NHK,0,6,4,15,28,37,178,Seinen,Other
88,Horimiya,0,3,6,11,31,41,172,Shonen,Slice of Life
101,My Dress-up Darling,0,3,4,12,22,41,149,Seinen,Slice of Life
115,Black Lagoon,0,4,5,10,20,25,131,Seinen,Other
117,Miss Kobayashi’s Dragon Maid,0,4,5,5,19,35,124,Seinen,Slice of Life
122,Anohana,0,0,1,8,18,44,108,Seinen,Slice of Life
143,Cardcaptor Sakura,0,3,3,5,11,19,80,Shojo,Fantasy / Action
144,Pluto,0,1,0,3,19,29,80,Seinen,Mecha
147,GTO,0,4,2,3,13,18,77,Shonen,Slice of Life
150,The Garden of Sinners,0,4,3,5,9,15,76,Seinen,Fantasy / Action
151,Saga of Tanya the Evil,0,2,1,4,15,22,76,Seinen,Isekai
153,Call of the Night,0,2,0,6,11,27,75,Shonen,Other
159,Tsuki ga Kirei,0,1,3,4,10,23,71,Seinen,Slice of Life
160,Asobi Asobase,0,0,2,5,11,26,71,Seinen,Slice of Life
162,Fairy Tail,0,1,3,7,11,11,70,Shonen,Fantasy / Action
166,Food Wars,0,2,5,3,6,17,66,Shonen,Slice of Life
175,Ranking of Kings,0,1,0,7,6,24,61,Seinen,Fantasy / Action
180,Kaiji,0,0,1,4,12,20,60,Seinen,Other
183,I Want to Eat Your Pancreas,0,1,1,1,15,18,59,Shonen,Slice of Life
190,Pokemon,0,1,2,4,4,24,56,Kodomomuke,Fantasy / Action
197,Ascendance of a Bookworm,0,1,3,1,8,19,54,Seinen,Isekai
198,Banana Fish,0,1,2,4,6,18,54,Shojo,Other
204,Beastars,0,2,1,4,8,11,51,Shonen,Other
205,Little Witch Academia,0,0,2,0,7,28,50,Kodomomuke,Fantasy / Action
208,Millennium Actress,0,3,0,4,7,11,49,Seinen,Other
209,Yuri!! On Ice,0,3,1,1,10,9,48,Seinen,Other
210,Given,0,3,1,1,8,13,48,Josei,Slice of Life
211,Hidamari Sketch,0,2,3,3,6,7,48,Seinen,Slice of Life
213,School Live,0,0,2,3,10,10,47,Seinen,Fantasy / Action
214,Prison School,0,0,1,3,10,14,47,Seinen,Slice of Life
216,Flying Witch,0,3,3,2,5,6,46,Seinen,Slice of Life
219,Princess Principal,0,1,3,4,4,9,45,Seinen,Other
224,My Neighbour Totoro,0,1,4,0,7,9,43,Kodomomuke,Other
225,The Pet Girl of Sakurasou,0,0,0,4,8,15,43,Shonen,Slice of Life
230,Hell’s Paradise,0,2,0,0,11,12,42,Shonen,Fantasy / Action
231,Akebi’s Sailor Uniform,0,1,0,2,9,13,41,Seinen,Slice of Life
235,Darling in the FranXX,0,4,2,2,3,4,40,Shonen,Mecha
236,Ranma 1/2,0,2,3,3,4,3,40,Shonen,Fantasy / Action
237,Gundam Iron Blooded Orphans,0,1,0,3,10,7,40,Shonen,Mecha
238,Yuru Yuri,0,2,1,1,5,14,39,Seinen,Slice of Life
239,Bakuman,0,2,0,3,5,12,39,Shonen,Slice of Life
240,ReLife,0,0,0,3,6,18,39,Seinen,Slice of Life
244,Megalobox,0,1,0,2,7,14,38,Seinen,Other
245,Komi Can’t Communicate,0,0,0,3,5,19,38,Shonen,Slice of Life
249,Scum’s Wish,0,2,1,0,8,9,37,Josei,Slice of Life
250,5 Centimeters Per Second,0,2,1,0,9,6,36,Seinen,Other
251,Dororo,0,0,0,1,8,17,36,Shonen,Fantasy / Action
253,Charlotte,0,0,1,3,6,10,35,Seinen,Fantasy / Action
254,Redline,0,0,1,1,6,16,35,Seinen,Other
258,Tamako Market,0,2,1,1,5,9,34,Seinen,Slice of Life
259,Golden Time,0,1,1,3,5,7,34,Shonen,Slice of Life
260,Fire Force,0,0,3,1,3,13,34,Shonen,Fantasy / Action
